folder,model,input_type,format,scene,bewertung,halluzinationen,kommentar
01_minimax_subject,MiniMax Subject Ref.,a-pose,square,alle,nein,,Minecraft-Stil — halluzinierte Gesichtszüge (Augen/Mund)
02_zimage_controlnet,Z-Image Turbo ControlNet,a-pose,square,alle,bedingt,nein,A-Pose erhalten — kein Gesicht — clean
03_flux_depth,FLUX Depth LoRA,a-pose,square,alle,nein,,Körper wird humanoid/geglättet
04_flux_canny,FLUX Canny LoRA,a-pose,square,alle,nein,ja,Volles menschliches Gesicht halluziniert
05_era3d,Era 3D,a-pose,square,multiview,nein,,Multiviews nutzlos — kann ich selber erstellen in viel besserer Qualität
06_flux_kontext,FLUX Kontext Pro,a-pose,square,alle,bedingt,,Es fängt an gut zu werden!
07_gpt_image_15,GPT-Image-1.5,a-pose,square,alle,bedingt,teilweise,Teilweise Halluzinationen — aber sehr solide
08_seeddream,SeedDream v4.5,a-pose,square,alle,nein,ja,Volles Gesicht halluziniert (Augen/Nase/Mund)
09_nanobanana_pro,NanoBanana Pro,a-pose,square,alle,gut,teilweise,Keine Gesichtszüge sichtbar — kleinere Halluzinationen (fehlende Cap) — aber gut
10_flux_kontext_posed,FLUX Kontext Pro,posed,square,alle,nein,ja,Gesichter werden reinhalluziniert
11_gpt15_posed,GPT-Image-1.5,posed,square,alle,ja,teilweise,Solideste Ergebnisse — nur ein Bild Halluzinationen — enthält Lieblingsbild
12_nanobanana_posed,NanoBanana Pro,posed,square,alle,ja,nein,Stärkste Voxel-Ästhetik — auch Umgebung voxelisiert
13_gpt15_scenes,GPT-Image-1.5,posed,portrait,alle,gemischt,,Buggy 1:1 Ratio
13_gpt15_scenes,GPT-Image-1.5,posed,landscape,alle,gemischt,,Etwas weniger buggy — teilweise ähnliche Halluzinationen — auch 1:1 leider
14_nanobanana_scenes,NanoBanana Pro,posed,portrait,alle,gemischt,teilweise,Halb halb — Hälfte sehr cool — andere hat Halluzinationen
14_nanobanana_scenes,NanoBanana Pro,posed,landscape,alle,gemischt,teilweise,Dasselbe — halb halb — ohne Halluzinationen eigentlich stark
15_gpt15_fixed,GPT-Image-1.5,posed,portrait,alle,gemischt,,Besser — aber verzerrt aufgrund fehlerhafter gestretchter Referenzbilder
